type,title_clean,cast_clean,listed_in_clean,description_clean,genres,release_year,duration,country,rating,country_encoded,rating_encoded
0,sin city,yvonne nelson kunle remi adjetey anang oscar provencal michelle mckinney hammond rosaline meurer kweku elliot regina van helvert alhaji fadika isaac akwesi awonor,international movie thriller,busy couple try give love life boost taking impromptu weekend trip find relationship tested unexpected way,"['international', 'movie', 'thriller']",2019,101 min,Unknown,TV-14,736,9
1,world wanted,unknown,crime tv show docuseries international tv show,suspected heinous crime ’ avoided capture despite massive reward global investigation docuseries profiling world ’ wanted,"['crime', 'tv', 'show', 'docuseries', 'international', 'tv', 'show']",2020,1 Season,United States,TV-14,603,9
0,go go cory carson summer camp,alan c lim smith foreman abigail vibat pfifer chastain jim capobianco neenasinaii simpo eli morse adelaide hirasaki paul killam kerry gudjohnsen maisie benson,child family movie,corys spending summer camp friendship best friend freddie jealousy flare freddie brings cousin rosie along ride,"['child', 'family', 'movie']",2020,21 min,Unknown,TV-Y,736,13
0,malibu rescue next wave,ricardo hurtado breanna yde jackie r jacobson abby donnelly alkoya brunson jeff meacham ella gross carlos sanson jt neal camaron engels kirrilee berger,child family movie comedy,summer return malibu team flounder take beach host — unexpectedly compete — international beachmaster competition,"['child', 'family', 'movie', 'comedy']",2020,71 min,United States,TV-G,603,10
1,mystery lab,felipe castanhari lilian regina bruno miranda guilherme briggs,docuseries international tv show science nature tv,host felipe castanhari explores science history mystery marvel uncovering mindblowing fact help lab buddy,"['docuseries', 'international', 'tv', 'show', 'science', 'nature', 'tv']",2020,1 Season,Brazil,TV-PG,45,12
0,sam jay 3 morning,sam jay,standup comedy,comedian saturday night live writer sam jay serf fresh take relationship travel nightmare audacity white people,"['standup', 'comedy']",2020,64 min,United States,TV-MA,603,11
1,immigration nation,unknown,docuseries,unprecedented access ice operation well moving portrait immigrant docuseries take deep look u immigration today,['docuseries'],2020,1 Season,United States,TV-MA,603,11
0,almost love,scott evans augustus prew kate walsh michelle buteau zoë chao patricia clarkson colin donnell christopher gray,comedy drama independent movie,close crew striving new yorkers experience joy heartache romantic professional life,"['comedy', 'drama', 'independent', 'movie']",2020,92 min,United States,TV-MA,603,11
0,killing hasselhoff,ken jeong david hasselhoff jim jefferies jon lovitz rhys darby dan bakkedahl jennifer ikeda sasso colton dunn,comedy,major debt loan shark nightclub owner who entered celebrity death pool try murder famous figure half million dollar,['comedy'],2017,80 min,United States,R,603,8
1,moesha,brandy norwood william allen young sheryl lee ralph countess vaughn lamont bentley shar jackson marcus paulk yvette wilson,tv comedy teen tv show,navigating twist first high school moesha juggle friendship romance occasional drama trying keep family together,"['tv', 'comedy', 'teen', 'tv', 'show']",2000,6 Seasons,United States,TV-PG,603,12
1,perfect landing,morgan wigle tom hulshof helena marie shawn thompson natasha zaborski ajanae stephenson francesca van keekan jordan clark,kid tv,everything change talented young gymnast jenny cortez move family miami toronto open new gymnastics club,"['kid', 'tv']",2020,1 Season,Canada,TV-G,58,10
1,nagiasu lull sea,natsuki hanae kana hanazawa ai kayano ryota osaka kaito ishikawa mikako komatsu kaori ishihara kaori nazuka masuo amada junji majima motomu kiyokawa kohsuke toriumi,anime series romantic tv show teen tv show,world human divided land sea four childhood friend ocean must attend middle school surface,"['anime', 'series', 'romantic', 'tv', 'show', 'teen', 'tv', 'show']",2014,1 Season,Japan,TV-14,319,9
0,rogue warfare hunt,yun lee jermaine love rory markham bertrandxavier corbi katie keene fernando chien gina decesare michael blalock chris mulkey stephen lang,action adventure,leader captured extremist organization special force team stage perilous rescue mission time run,"['action', 'adventure']",2020,104 min,United States,R,603,8
0,super monster new class,elyse maloway vincent tong erin mathews andrea libman alessandro juliani nicole anthony diana kaarina gigi saul guerrero asia mattu rukiya bernard elicia mackenzie ian james corlett britt mckillip,child family movie,new class pintsized preschooler arrives pitchfork pine super monster take superpower next level — purple room,"['child', 'family', 'movie']",2020,25 min,Canada,TV-Y,58,13
1,next step,shamier anderson victoria baldesarra alexandra beaton jordan clark brennan clost samantha grecchi lamar johnson isaac lupien trevor tordjman brittany raymond bree wasylenko jennifer pappa tamina pollackparis logan fabbro megan mackenzie alex beaton natalie krill,kid tv reality tv tv drama,drama series follows young dancer next step dance studio attempt win coveted regional dance championship,"['kid', 'tv', 'reality', 'tv', 'tv', 'drama']",2018,1 Season,Canada,TV-G,58,10
0,ottoman lieutenant,michiel huisman hera hilmar josh hartnett ben kingsley haluk bilginer affif ben badra paul barrett jessica turner,drama romantic movie,world war loom american nurse travel ottoman empire medical mission clash dashing lieutenant,"['drama', 'romantic', 'movie']",2017,111 min,"Turkey, United States",R,497,8
1,toradora,rie kugimiya junji majima yui horie hirofumi nojima eri kitamura sayaka ohara ai nonaka momoko ishikawa hiroyuki yoshino kazuyuki okitsu rie tanaka yuhko kaida saori goto,anime series international tv show romantic tv show,menacing appearance gentle heart ryūji form unlikely friendship taiga tiny girl sharp tongue tough attitude,"['anime', 'series', 'international', 'tv', 'show', 'romantic', 'tv', 'show']",2008,1 Season,Japan,TV-14,319,9
1,transformer rescue bot academy,adam andrianopolous pierce craven xander crowell paul guyet michael hansen mason hensley courtney shaw alan trinca keyon williams andy zou,kid tv,part first class rescue bot academy five cybertron recruit train skilled teacher take daring rescue mission,"['kid', 'tv']",2020,2 Seasons,United States,TV-Y,603,13
0,tumi tumi,tumi morake,standup comedy,tumi morake dish hot take fiery commentary concept identity politics family life weave standup special,"['standup', 'comedy']",2020,72 min,Unknown,TV-MA,736,11
0,keep alive,hannah emily anderson brittany allen martha macisaac joey klein charlotte lindsay marron,lgbtq movie thriller,couple romantic anniversary retreat rural cabin unravels childhood friend appears reveals longheld secret past,"['lgbtq', 'movie', 'thriller']",2018,99 min,Canada,R,58,8
1,get even,kim adis mia mckennabruce bethany antonia jessica alexander,british tv show crime tv show international tv show,secret act skillful revenge four private school classmate team work together expose string schoolwide injustice,"['british', 'tv', 'show', 'crime', 'tv', 'show', 'international', 'tv', 'show']",2020,1 Season,United Kingdom,TV-PG,506,12
0,latte magic waterstone,ashley bornancin carter hastings,child family movie comedy,greedy bear steal magic stone keep forest ’ water brave hedgehog timid squirrel must work together retrieve,"['child', 'family', 'movie', 'comedy']",2020,83 min,Germany,TV-Y,212,13
0,raat akeli hai,nawazuddin siddiqui radhika apte khalid tyabji aditya srivastava padmavati rao shivani raghuvanshi nishant dahiya shweta tripathi gyanendra tripathi shreedhar dubey swanand kirkire riya shukla tigmanshu dhulia ila arun natasha rastogi,drama international movie thriller,newly married landlord murdered misfit cop ’ investigation complicated victim ’ secretive family conflicted heart,"['drama', 'international', 'movie', 'thriller']",2020,150 min,India,TV-MA,251,11
0,seriously single,fulu mugovhani tumi morake bohang moeko yonda thomas,comedy international movie romantic movie,freeliving bestie urge embrace singlehood commitmentcraving social medium expert cant stop following life former love,"['comedy', 'international', 'movie', 'romantic', 'movie']",2020,108 min,South Africa,TV-MA,426,11
0,sugar high,hunter march,child family movie,talented sugar artist compete 10000 two round competition — candy sugar sculpture — sugar rush spinoff special,"['child', 'family', 'movie']",2020,44 min,United States,TV-G,603,10
1,sugar rush,candace nelson adriano zumbo hunter march,reality tv,time important ingredient team race clock – – bake besttasting sweet,"['reality', 'tv']",2020,3 Seasons,United States,TV-PG,603,12
1,umbrella academy,unknown,tv action adventure tv mystery tv scifi fantasy,reunited father death estranged sibling extraordinary power uncover shocking family secret – looming threat humanity,"['tv', 'action', 'adventure', 'tv', 'mystery', 'tv', 'scifi', 'fantasy']",2020,2 Seasons,"United States, Canada",TV-14,621,9
0,retablo,junior béjar roca amiel cayo magaly solier hermelinda luján mauro chuchón claudia solís coco chiarella,drama international movie,high andes teenage boy father work together artisan bond shattered son learns father secret life,"['drama', 'international', 'movie']",2017,102 min,"Peru, Germany, Norway",TV-MA,386,11
1,transformer war cybertron trilogy,jake foushee jason marnocha linsay rousseau joe zieja frank todaro bill rogers keith silverstein edward bosco,anime series,autobots decepticons ravage planet brutal civil war two iconic leader emerge transformer universe origin story,"['anime', 'series']",2020,1 Season,United States,TV-Y7,603,14
0,uma maheswara ugra roopasya,satya dev vk naresh raghavan suhas p ravindra vijay chandana koppisetti roopa koduvayur kushalini pulapa,comedy drama independent movie,defeated humiliated fight trying defuse conflict among fellow villager photographer vow revenge attacker,"['comedy', 'drama', 'independent', 'movie']",2020,137 min,India,TV-MA,251,11
1,unlucky ploy,anusorn maneethet atsadaporn siriwattanakul waratthaya wongchayaporn thanawetch siriwattanakul pokchat thiamchai phichikorn ployphimana supachai suwanon daraneenuch pasutanavin kittiphong dumavibhat aphiradi phawaphutanon attharut krongrasri ronnawee sereerat lita janvarapa sitang punnapob yani tramod,international tv show romantic tv show tv comedy,remake korean series man becomes mired life two woman happen share name,"['international', 'tv', 'show', 'romantic', 'tv', 'show', 'tv', 'comedy']",2020,1 Season,Unknown,TV-MA,736,11
0,day,bovi ugboma amanda ebeye shaffy bello adunni ade ini dimaokojie najite dede gregory ojefua thelma ezeamaka femi durojaiye ese lami george toni tone,comedy international movie romantic movie,man promise fiancé dream wedding must keep outrageous request lavish ceremony possible,"['comedy', 'international', 'movie', 'romantic', 'movie']",2016,112 min,Nigeria,TV-MA,368,11
0,redemption,gil alexandre arlete bombe rashid abdul laquino fonseca tomas bie candido quembo jorge amade aldovina chiziane,drama international movie thriller,newly released prison man returning girlfriend child subsequently learns dangerous debt taken late mother,"['drama', 'international', 'movie', 'thriller']",2019,102 min,Mozambique,TV-MA,352,11
0,shine eye,oc ukeje indira nascimento paulo andré ike barry chukwudi iwuji,drama independent movie international movie,nigerian musician travel brazil search estranged brother living life different one family thought,"['drama', 'independent', 'movie', 'international', 'movie']",2020,103 min,"Brazil, France",TV-MA,46,11
0,hater,maciej musiałowski agata kulesza danuta stenka vanessa aleksander maciej stuhr jacek koman adam gradowski piotr biedron martynika kosnica,drama international movie thriller,duplicitous young man find success dark world social medium smear tactic — virtual vitriol soon violent reallife consequence,"['drama', 'international', 'movie', 'thriller']",2020,136 min,Poland,TV-MA,394,11
0,speed cubers,unknown,documentary,documentary capture extraordinary twist turn journey rubiks cubesolving champion max park feliks zemdegs,['documentary'],2020,41 min,United States,TV-PG,603,12
0,tread,unknown,documentary,documentary reconstructs pivotal moment drove man rampage destroy small town bulldozer fortified secret,['documentary'],2019,88 min,United States,TV-MA,603,11
1,last chance u,john franklin iii dj law buddy stephen brittany wagner ronald ollie,docuseries,docuseries set one ncaa football fertile recruiting ground guy red flag seek prove worth field class,['docuseries'],2020,5 Seasons,United States,TV-MA,603,11
0,banana split,hannah mark liana liberato dylan sprouse luke spencer robert jessica hecht addison riecke meagan kimberly smith haley ramm,comedy drama independent movie,despite leaving college heartsick teen try build new friendship kindred spirit even though shes dating exboyfriend,"['comedy', 'drama', 'independent', 'movie']",2020,84 min,United States,TV-MA,603,11
1,shameless u,william h macy emmy rossum justin chatwin cameron monaghan jeremy allen white shanola hampton steve howey ethan cutkosky emma kenney laura wiggins joan cusack,tv comedy tv drama,dramedy based british series center sibling dysfunctional chicago family struggle coping alcoholic father,"['tv', 'comedy', 'tv', 'drama']",2019,10 Seasons,United States,TV-MA,603,11
0,door ke darshan,dolly ahluwalia manu rishi chadha mahie gill shardul rana archita sharma rajesh sharma supriya shukla mehak manwani,comedy international movie,matriarch wake 30year coma wacky family frantically recreates bygone era keep noticing much time passed,"['comedy', 'international', 'movie']",2020,114 min,India,TV-14,251,9
0,double world,henry lau peter ho lin chenhan jiang luxia ming hu law shi shi mark cheng wang ziyi xu minghu,action adventure international movie,keen bring honor clan young villager dong yilong embarks perilous journey compete tournament selects warrior battle,"['action', 'adventure', 'international', 'movie']",2020,110 min,China,TV-14,105,9
0,project marathwada,om puri seema biswas kunal sheth rahul patel katarina kajkus farrah kader govind namdeo dalip tahil,drama independent movie international movie,son ’ suicide debtridden farmer seek justice government plea mocked rebuffed live erodes,"['drama', 'independent', 'movie', 'international', 'movie']",2016,103 min,India,TV-MA,251,11
0,animal cracker,emily blunt john krasinski ian mckellen danny devito ravensymoné patrick warburton wallace shawn gilbert gottfried tara strong harvey fierstein james arnold taylor kevin grevioux sylvester stallone lydia rose taylor,child family movie comedy,enchanted animal cracker turn owen whatever shape eats save family circus hell keep evil uncle hand,"['child', 'family', 'movie', 'comedy']",2020,106 min,"China, Spain, South Korea, United States",TV-Y7,114,14
0,dragon rescue rider secret songwing,noah kaye bentley brennley brown zach callison nicolas cantu skai jackson marsai martin andre robinson carlos alazraqui renée elise goldsberry,child family movie comedy,musical dragon beautiful voice hypnotizes dragon people huttsgalor rescue rider find way break spell,"['child', 'family', 'movie', 'comedy']",2020,46 min,United States,TV-Y,603,13
0,nimbe,odunlade adekola chimezie imo sani danja rachael okonkwo broda shaggi toyin abraham kelechi udegbe doyin abiola molawa davis,drama international movie,bullied teenager gravitates toward acceptance find street gang soon end involved world drug abuse organized crime,"['drama', 'international', 'movie']",2019,115 min,Nigeria,TV-MA,368,11
0,offering storm,marta etura leonardo sbaraglia carlos librado nene francesc orella imanol aria álvaro cervantes itziar aizpuru benn northover marta larralde alicia sánchez eduardo rosa angel alkain ana wagener paco tous patricia lópez arnaiz pedro casablanc,international movie thriller,amaia investigates several suspicious infant death horrific ritual meanwhile people around risk grave danger part 3 baztan trilogy,"['international', 'movie', 'thriller']",2020,140 min,"Spain, Germany",TV-MA,458,11
0,romance doll,issey takahashi yuu aoi kenta hamano toko miura koji ohkura pierre taki eri watanabe kitaro,drama international movie romantic movie,love came naturally married couple sonoko tetsuo secret profession love doll designer clash deeper darker secret,"['drama', 'international', 'movie', 'romantic', 'movie']",2020,124 min,Japan,TV-MA,319,11
1,sing spain,ricky merino,international tv show reality tv spanishlanguage tv show,fastpaced highenergy karaoke competition singer walk life battle 30000 euro,"['international', 'tv', 'show', 'reality', 'tv', 'spanishlanguage', 'tv', 'show']",2020,1 Season,Spain,TV-G,444,10
0,kissing booth 2,joey king joel courtney jacob elordi molly ringwald taylor zakhar perez maisie richardsonsellers meganne young,comedy romantic movie,college decision looming elle juggle longdistance romance noah changing relationship bestie lee feeling new classmate,"['comedy', 'romantic', 'movie']",2020,133 min,"United Kingdom, United States",TV-14,589,9
1,sinatra nothing,unknown,docuseries,legendary crooner frank sinatra life talent captured documentary series featuring fond memory friend family colleague,['docuseries'],2015,1 Season,United States,TV-14,603,9
0,larva island movie,hong bumki eddy lee kang shihyun ahn hyomin kim yeonwoo choi nakyoon tom wayland erica schroeder,child family movie comedy,movie sequel hit series chuck return home talk reporter life island zany larva pal red yellow,"['child', 'family', 'movie', 'comedy']",2020,91 min,South Korea,TV-Y7,435,14
0,letter reader,bahle mashinini nomalanga shabane andile gumbi nokuthula mazibuko,drama international movie,young boy johannesburg arrives kwazulunatal begin read letter villager — fall love one recipient,"['drama', 'international', 'movie']",2019,30 min,South Africa,TV-PG,426,12
1,fear city new york v mafia,unknown,crime tv show docuseries,five mafia family ruled new york bloody fist 1970s 80 group federal agent tried unthinkable taking,"['crime', 'tv', 'show', 'docuseries']",2020,1 Season,United States,TV-MA,603,11
1,norseman,kåre conradi silje torp nil jørgen kaalstad marian saastad ottesen trond fausa kristine riis jon øigarden henrik mestad øystein martinsen mikkel bratt silset mads jørgensen nikis theophilakis,international tv show tv comedy,resident 8thcentury viking village experience political rivalry social change innovation upend culture way life,"['international', 'tv', 'show', 'tv', 'comedy']",2020,3 Seasons,Norway,TV-MA,370,11
0,remix hip hop x fashion,unknown,documentary music musical,documentary profile black visionary fashion rewrote narrative runway turned hiphop style global phenomenon,"['documentary', 'music', 'musical']",2019,67 min,United States,TV-MA,603,11
0,ip man 4 finale,donnie yen wu yue vanness wu scott adkins kent cheng danny chan kwokkwan kanin ngo chris collins vanda margraf meng lo,action adventure drama international movie,ip man travel san francisco son wrestle tension martial art master star student bruce lee,"['action', 'adventure', 'drama', 'international', 'movie']",2019,105 min,"Hong Kong, China",TV-MA,241,11
0,jack whitehall im joking,jack whitehall,standup comedy,jack whitehall hit stage hilarious tale happy couple life hotel human stupidity welltraveled father,"['standup', 'comedy']",2020,58 min,United Kingdom,TV-MA,506,11
1,street food latin america,unknown,docuseries spanishlanguage tv show,vibrant docuseries latin american chef tell story bring taste tradition innovation delicious offering,"['docuseries', 'spanishlanguage', 'tv', 'show']",2020,1 Season,Unknown,TV-PG,736,12
1,killer woman pier morgan,pier morgan,british tv show crime tv show docuseries,journalist pier morgan go behind prison wall speak woman convicted shocking crime shedding light drove murder,"['british', 'tv', 'show', 'crime', 'tv', 'show', 'docuseries']",2017,1 Season,United Kingdom,TV-MA,506,11
0,funan,bérénice bejo louis garrel colette kieffer audelaurence clermont biver brice montagne franck sasonoff hervé sogne maxime baudoin tom trouffier lila lacombe céline ronté emilie marié thierry jahn,drama international movie,separated young son brutal khmer rouge revolution couple must find way endure searching child,"['drama', 'international', 'movie']",2018,87 min,"France, Belgium, Luxembourg, Cambodia,",TV-14,168,9
1,gigantosaurus,unknown,kid tv,four prehistoric friend go array adventure trying unravel mystery big fierce creature based jonny duddles book,"['kid', 'tv']",2019,1 Season,France,TV-Y,162,13
1,single wife,fifi box matthew hussey,reality tv romantic tv show,looking second chance love four formerly married woman put various romantic situation receive feedback dating coach,"['reality', 'tv', 'romantic', 'tv', 'show']",2018,1 Season,Australia,TV-MA,15,11
1,cursed,katherine langford devon terrell gustaf skarsgård daniel sharman sebastian armesto lily newmark shalom brunefranklin matt stokoe bella dayne peter mullan emily coates,tv action adventure tv drama tv scifi fantasy,armed mysterious power legendary sword young rebel nimue join force charming mercenary arthur mission save people,"['tv', 'action', 'adventure', 'tv', 'drama', 'tv', 'scifi', 'fantasy']",2020,1 Season,"United Kingdom, Australia",TV-MA,508,11
0,father soldier son,unknown,documentary,single father severely wounded afghanistan son embark journey sacrifice search redemption,['documentary'],2020,100 min,United States,R,603,8
1,dark,perry mattfeld brooke markham casey deidrick keston john morgan krantz rich sommer thamela mpumlwana saycon sengbloh kathleen york derek webster,crime tv show tv drama,blind woman vice find middle murder investigation best friend turn dead,"['crime', 'tv', 'show', 'tv', 'drama']",2020,2 Seasons,United States,TV-14,603,9
1,kissing game,caio horowicz iza moreira michel joelsas denise fraga thomás aquino luana nastas esther tinman kevin vechiatto grace passô bianca byington bruno garcia flávio tolezani carolina del carmen peleritti,international tv show tv drama tv mystery,high school rural isolated ranching community family panic teen contract mysterious kissing disease quickly spread,"['international', 'tv', 'show', 'tv', 'drama', 'tv', 'mystery']",2020,1 Season,Brazil,TV-MA,45,11
0,million,ramsey nouah blossom chukwujekwu ayo makun nancy isime ali nuhu folusho durojaiye toyin abraham chika lann broda shaggi etinosa idemudia,comedy international movie,pull massive heist charismatic con artist attempt rob fortified home help team cant completely trust,"['comedy', 'international', 'movie']",2019,95 min,Nigeria,TV-MA,368,11
0,fatal affair,nia long omar epps stephen bishop maya stojan aubrey cleland carolyn hennesy,thriller,lawyer caught terrifying game cat mouse drink old friend escalates obsession jeopardizes everyone love,['thriller'],2020,90 min,United States,TV-14,603,9
0,milf,virginie ledoyen mariejosée croze axelle laffont matthias dandois victor meutelet waël sersoub florence thomassin,comedy international movie romantic movie,south france three best friend 40 navigate loss heartbreak embarking steamy affair much younger men,"['comedy', 'international', 'movie', 'romantic', 'movie']",2018,102 min,"France, Belgium",TV-MA,165,11
0,cold foot,jim iyke joselyn duma enyinna nwigwe beverly naya femi adebayo segun arinze padita agu,drama international movie romantic movie,resort getaway fate two couple collides wife unexpectedly run old flame hesitates propose girlfriend,"['drama', 'international', 'movie', 'romantic', 'movie']",2019,98 min,Nigeria,TV-14,368,9
1,dark desire,maite perroni erik hayser alejandro speitzer maría fernanda yepes jorge poza regina pavón paulina matos leticia huijara claudia pineda esteban soberanes claudia ríos samantha orozco fabián merlo eligio meléndez carmen beato carlos torres toño valdés,crime tv show international tv show spanishlanguage tv show,married alma spends fateful weekend away home ignites passion end tragedy lead question truth close,"['crime', 'tv', 'show', 'international', 'tv', 'show', 'spanishlanguage', 'tv', 'show']",2020,1 Season,Mexico,TV-MA,342,11
0,little singham legend dugabakka,unknown,child family movie comedy,fear rise ghost known nighttime abduction mirchi nagar resident look person know save little singham,"['child', 'family', 'movie', 'comedy']",2020,68 min,Unknown,TV-Y7,736,14
1,skin decision,unknown,reality tv science nature tv,skin beauty expert nurse jamie plastic surgeon dr sheila nazarian use latest procedure bring client best self,"['reality', 'tv', 'science', 'nature', 'tv']",2020,1 Season,United States,TV-MA,603,11
1,sunny bunny,svetlana tsimokhina dmitri davidovich,british tv show kid tv tv comedy,furry little bunny hop wild adventure find solution fun sometimes mischief wherever light,"['british', 'tv', 'show', 'kid', 'tv', 'tv', 'comedy']",2016,2 Seasons,Belarus,TV-Y,37,13
0,sylvia,chris attoh zainab balogun ini dimaokojie udoka onyeka lord frank bolaji ogunmola ijeoma grace agu omotunde adebowale david,drama international movie thriller,man outgrows childhood friendship commits marrying girlfriend obsession spiritual warfare soon disrupt peaceful life,"['drama', 'international', 'movie', 'thriller']",2018,104 min,Nigeria,TV-14,368,9
0,player,valerio mastandrea riccardo scamarcio laura chiatti valentina cervi marina foïs euridice axen massimiliano gallo alessia giuliani,comedy international movie,campy lie sexy surprise collection vignette capture folly several men fumble fidelity relationship,"['comedy', 'international', 'movie']",2020,89 min,Italy,TV-MA,302,11
1,business drug,amaryllis fox,docuseries,understand origin true impact business drug former cia analyst investigates economics six illicit substance,['docuseries'],2020,1 Season,United States,TV-MA,603,11
0,urzila carlson overqualified loser,urzila carlson,standup comedy,standup comedian urzila carlson keep crowd roaring thought recasting biggest loser sex tape regret boxed wine hangover,"['standup', 'comedy']",2020,62 min,Australia,TV-MA,15,11
0,one,unknown,documentary international movie music musical,activist around world fight injustice drive social change documentary follows participation music video solidarité,"['documentary', 'international', 'movie', 'music', 'musical']",2020,86 min,France,TV-MA,162,11
0,hole wall,andré odendaal nicholas campbell tinarie van wyk loot bheki mkwane susan coetzer botho molohloane anna davel nomboniso paile dania gelderblom hamish kyd,drama international movie,diagnosed colon cancer freespirited man embarks illuminating road trip son south africa,"['drama', 'international', 'movie']",2016,104 min,South Africa,TV-MA,426,11
1,dating around brazil,unknown,international tv show reality tv romantic tv show,reality show six single meet five different blind date trendy urban hot spot brazil choose second outing,"['international', 'tv', 'show', 'reality', 'tv', 'romantic', 'tv', 'show']",2020,1 Season,Brazil,TV-14,45,9
1,earth zac efron,zac efron darin olien,docuseries reality tv science nature tv,actor zac efron journey around world wellness expert darin olien travel show explores healthy sustainable way live,"['docuseries', 'reality', 'tv', 'science', 'nature', 'tv']",2020,1 Season,United States,TV-PG,603,12
0,mama boy,hesham maged shikoo mohammed tharwat mahmoud ellisy ahmed sultan noor kadri,comedy international movie,man undergoes heart transplant following serious injury begin take donor motherly characteristic,"['comedy', 'international', 'movie']",2018,101 min,Egypt,TV-14,150,9
0,claudia kishi club,unknown,documentary,asian american creatives pay passionate tribute iconic stereotypebusting babysitter club character heartfelt documentary short,['documentary'],2020,17 min,United States,TV-14,603,9
1,epic tale captain underpants space,nat faxon jay gragnani ramone hamilton sean astin dayci brookshire jorge diaz peter hastings evan kishiyama david koechner erica luttrell brennan murray nolan north gary anthony williams secunda wood,kid tv tv action adventure tv comedy,best friend george harold — along classmate tyrannical principal — recruited mysterious mission outer space,"['kid', 'tv', 'tv', 'action', 'adventure', 'tv', 'comedy']",2020,1 Season,United States,TV-Y7,603,14
0,old guard,charlize theron kiki layne marwan kenzari luca marinelli harry melling van veronica ngo matthias schoenaerts chiwetel ejiofor,action adventure,four undying warrior whove secretly protected humanity century become targeted mysterious power discover new immortal,"['action', 'adventure']",2020,126 min,United States,R,603,8
1,twelve,maaike neuville charlotte de bruyne tom vermeir mieke de groote johan heldenbergh zouzou ben chikha peter gorissen piet de praitere maaike cafmeyer josse de pauw greet verstraete koen de sutter isabelle van hecke lynn van royen,crime tv show international tv show tv drama,twelve juror — ordinary people struggle — must decide case woman accused killing best friend daughter,"['crime', 'tv', 'show', 'international', 'tv', 'show', 'tv', 'drama']",2019,1 Season,Belgium,TV-MA,38,11
0,excellency,akin lewis funke akindele kemi lala akindoju shaffy bello kunle coker eku edewor alexx ekubo osas ighodaro ajibade seyi law falz chigul deyemi okanlawon beverly osu toni tone christian paul bimbo manuel helen paul,comedy international movie,bumbling politics billionaire businessman presidential campaign seems destined disaster get boost social medium,"['comedy', 'international', 'movie']",2019,120 min,Unknown,TV-G,736,10
1,japan sink 2020,reina ueda tomo muranaka yuko sasaki masaki terasoma hiroyuki yoshino kensho ono,anime series international tv show,catastrophic earthquake devastate japan one family resolve tested journey survival sinking archipelago,"['anime', 'series', 'international', 'tv', 'show']",2020,1 Season,Japan,TV-MA,319,11
1,protector,çağatay ulusoy ayça ayşin turan hazar ergüçlü okan yalabık mehmet kurtuluş yurdaer okur,international tv show romantic tv show tv action adventure,discovering tie secret ancient order young man living modern istanbul embarks quest save city immortal enemy,"['international', 'tv', 'show', 'romantic', 'tv', 'show', 'tv', 'action', 'adventure']",2020,4 Seasons,Turkey,TV-MA,492,11
1,love,song jihyo son hojun song jongho koo jasung kim minjun kim dasom kim meekyung um chaeyoung kim youngah kim byungchoon,international tv show korean tv show romantic tv show,four different men appear life single mother hasnt dated year begin rediscover love —,"['international', 'tv', 'show', 'korean', 'tv', 'show', 'romantic', 'tv', 'show']",2020,1 Season,South Korea,TV-14,435,9
0,born racer,scott dixon,documentary sport movie,allaccess pas indycar champion scott dixon team navigate risk road quest win,"['documentary', 'sport', 'movie']",2018,89 min,New Zealand,R,363,8
0,mucho mucho amor legend walter mercado,walter mercado,documentary lgbtq movie,dazzling tenderhearted legendary astrologer walter mercado vanished peak fame documentary poignantly explains happened,"['documentary', 'lgbtq', 'movie']",2020,96 min,United States,TV-14,603,9
1,stateless,yvonne strahovski jai courtney cate blanchett asher keddie fayssal bazzi dominic west,international tv show tv drama,four stranger — woman run brave refugee driven bureaucrat struggling dad — intersect australian immigration detention center,"['international', 'tv', 'show', 'tv', 'drama']",2020,1 Season,Australia,TV-MA,15,11
0,long dumb road,tony revolori jason mantzoukas taissa farmiga grace gummer ciara bravo casey wilson pamela reed ron livingston,comedy independent movie,bound art school sheltered student get roped antic freewheeling mechanic hitch ride fixing car,"['comedy', 'independent', 'movie']",2018,91 min,United States,R,603,8
0,dr seuss lorax,danny devito ed helm taylor swift zac efron betty white rob riggle jenny slate nasim pedrad joel swetow michael beattie stephen tobolowsky,child family movie,forestdwelling lorax stop shortsighted onceler ruining environment profit adaptation dr seuss classic,"['child', 'family', 'movie']",2012,86 min,"United States, France",PG,643,6
0,jim jefferies intolerant,jim jefferies,standup comedy,scene excruciating date jim jefferies dig generational difference bad habit shifting boundary comedy,"['standup', 'comedy']",2020,67 min,Unknown,TV-MA,736,11
0,kid coney island,stephon marbury,documentary sport movie,gifted athlete professional nba hooper coney island stephon marbury navigates pressure pitfall peak basketball journey,"['documentary', 'sport', 'movie']",2019,89 min,"United States, China",TV-MA,632,11
0,pnl dans la légende tour,pnl,international movie music musical,french rap duo pnl deliver hypnotic visuals perform popular track album dans la légende bercy arena paris,"['international', 'movie', 'music', 'musical']",2020,65 min,Unknown,TV-MA,736,11
0,aiyyaa,rani mukerji prithviraj sukumaran nirmiti sawant subodh bhave jyoti subhash satish alekar anita date amey wagh kishori balal pakoda pandi,comedy international movie music musical,outspoken imaginative girl conservative family pursues dream man fending prospect arranged marriage,"['comedy', 'international', 'movie', 'music', 'musical']",2012,151 min,India,TV-14,251,9
0,bbuddah hoga terra baap,amitabh bachchan hema malini raveena tandon sonu sood sonal chauhan charmy kaur prakash raj makrand deshpande subbaraju shawar ali rajeev verma,action adventure comedy drama,cooly confident aging hit man return exile paris old city mumbai revisit past perform one last job,"['action', 'adventure', 'comedy', 'drama']",2011,116 min,India,TV-14,251,9
